customer_id,survey_q1,survey_q2,free_text,account_age_days,geographic_region,customer_segment,avg_survey_score
10429,4,3,Not very satisfied. Multiple issues created an overall poor impression.,82,North America,1,3.5
10554,8,10,Outstanding experience! Every aspect of the service exceeded my expectations.,1354,North America,1,9.0
10827,5,5,Adequate service but lacks that special touch to make it great.,806,North America,1,5.0
11536,3,3,Too many problems to consider this a good service. Significant improvement needed.,164,EMEA,1,3.0
10491,6,4,"Service was okay. Not great, not terrible - just average.",26,North America,3,5.0
11639,3,4,Several problems with the service that made for a frustrating experience.,1346,EMEA,2,3.5
10578,4,5,"Mediocre experience overall. Some good points, some areas needing improvement.",678,North America,1,4.5
11069,7,6,Satisfied customer here. Just a few minor suggestions for improvement.,223,North America,1,6.5
11360,5,7,"Good service overall, though there's some room for minor improvements.",88,EMEA,3,6.0
10891,6,4,Middle of the road experience. Some positives balanced by some negatives.,2455,EMEA,2,5.0
11371,4,1,Too many problems to consider this a good service. Significant improvement needed.,491,North America,2,2.5
10868,5,3,"Mediocre experience overall. Some good points, some areas needing improvement.",208,North America,1,4.0
11121,5,4,Adequate service but lacks that special touch to make it great.,627,APAC,2,4.5
11070,6,5,Service meets basic expectations but doesn't exceed them in any way.,270,North America,2,5.5
11540,3,5,Service meets basic expectations but doesn't exceed them in any way.,770,EMEA,3,4.0
11372,6,6,Pretty good service overall. A few areas could use some attention.,110,EMEA,1,6.0
12084,7,6,Satisfied customer here. Just a few minor suggestions for improvement.,2055,North America,2,6.5
10401,5,5,Service meets basic expectations but doesn't exceed them in any way.,229,APAC,2,5.0
10216,5,6,"Service was okay. Not great, not terrible - just average.",971,North America,1,5.5
11044,4,4,"Average service. Nothing particularly bad, but nothing stands out either.",202,North America,1,4.0
11904,4,4,Passable experience. Does the job but without any extras or special care.,2239,North America,1,4.0
11261,9,9,Incredible customer service and value. Best experience I've had in years.,1224,EMEA,2,9.0
